name,rating,reviews,details,highly_rated,critically_rated
SMFG India Credit,4.0,(4.3k),NBFC | Mumbai +540 other locations,"Salary & Benefits, Company Culture, Job Security",None
Home Credit Finance,4.1,(4.3k),NBFC | Gurgaon / Gurugram +121 other locations,"Company Culture, Work Life Balance, Skill Development / Learning","Company Culture, Work Life Balance, Skill Development / Learning"
Manappuram Finance,3.9,(4.3k),NBFC | Bangalore / Bengaluru +555 other locations,"Promotions / Appraisal, Skill Development / Learning",None
BNY,3.9,(4.2k),Financial Services | Pune +22 other locations,"Work Life Balance, Company Culture, Salary & Benefits","Work Life Balance, Company Culture, Salary & Benefits"
Atos,3.8,(4.2k),IT Services & Consulting | Pune +49 other locations,Work Life Balance,Work Life Balance
TVS Motor,4.0,(4.2k),Automobile | Hosur +306 other locations,"Skill Development / Learning, Job Security, Salary & Benefits","Skill Development / Learning, Job Security, Salary & Benefits"
IQVIA,3.9,(4.2k),Clinical Research | Bangalore / Bengaluru +56 other locations,"Job Security, Company Culture, Work Life Balance","Job Security, Company Culture, Work Life Balance"
Swiggy,3.8,(4.2k),Internet | Bangalore / Bengaluru +204 other locations,None,"Job Security, Company Culture, Work Life Balance"
SBI Cards & Payment Services,3.7,(4.2k),Financial Services | New Delhi +387 other locations,None,"Job Security, Company Culture, Work Life Balance"
Nagarro,4.0,(4.2k),IT Services & Consulting | Gurgaon / Gurugram +41 other locations,"Work Life Balance, Company Culture, Job Security",None
OPPO,4.0,(4.2k),Consumer Electronics & Appliances | Noida +382 other locations,Skill Development / Learning,Skill Development / Learning
Kalpataru Projects International,4.1,(4.1k),Engineering & Construction | Mumbai +279 other locations,"Job Security, Company Culture, Skill Development / Learning",None
Amdocs,3.7,(4.1k),Software Product | Pune +19 other locations,Company Culture,Company Culture
Persistent Systems,3.5,(4k),IT Services & Consulting | Pune +41 other locations,None,Company Culture
CBRE,4.2,(4k),Real Estate | Hyderabad / Secunderabad +81 other locations,"Skill Development / Learning, Company Culture, Work Life Balance",None
NTT Data,3.8,(4k),IT Services & Consulting | Bangalore / Bengaluru +61 other locations,"Work Life Balance, Job Security","Work Life Balance, Job Security"
State Bank of India,3.8,(4k),Banking | Mumbai +538 other locations,"Job Security, Salary & Benefits","Job Security, Salary & Benefits"
Bosch,4.2,(3.9k),Auto Components | Bangalore / Bengaluru +111 other locations,"Company Culture, Work Life Balance, Job Security","Company Culture, Work Life Balance, Job Security"
